TASK_ID,ONET_SOC_CODE,MAJOR_GROUP,OCCUPATION_TITLE,TASK_TYPE,IMPORTANCE_RAW,TASK_STATEMENT,OCCUPATION_DESCRIPTION,ai_exposure_annot1,automation_annot1,augmentation_annot1
10720,53-6031.00,53,Automotive and Watercraft Service Attendants,Core,4.01,"Order stock, and price and shelve incoming goods.","Service automobiles, buses, trucks, boats, and other automotive or marine vehicles with fuel, lubricants, and accessories. Collect payment for services and supplies. May lubricate vehicle, change motor oil, refill antifreeze, or replace lights or other accessories, such as windshield wiper blades or fan belts. May repair or replace tires.",0.85,0.65,0.8
2208,35-2021.00,35,Food Preparation Workers,Core,4.43,Remove trash and clean kitchen garbage containers.,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea.",0.2,0.1,0.2
5538,19-4012.00,19,Agricultural Technicians,Supplemental,3.51,Conduct insect or plant disease surveys.,"Work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition. Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects.",0.2,0.1,0.2
19665,17-2199.07,17,Photonics Engineers,Supplemental,3,Design solar energy photonics or other materials or devices to generate energy.,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology.",0.8,0.6,0.8
2605,43-4071.00,43,File Clerks,Core,3.99,"Eliminate outdated or unnecessary materials, destroying them or transferring them to inactive storage, according to file maintenance guidelines or legal requirements.","File correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used. Locate and remove material from file when requested.",0.5,0.25,0.6
15992,13-2099.01,13,Financial Quantitative Analysts,Core,3.37,Consult traders or other financial industry personnel to determine the need for new or improved analytical applications.,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",0.65,0.3,0.8
19529,11-9199.01,11,Regulatory Affairs Managers,Core,3.26,Develop relationships with state or federal environmental regulatory agencies to learn about and analyze the potential impacts of proposed environmental policy regulations.,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",0.8,0.55,0.85
19607,17-2051.00,17,Civil Engineers,Core,3,Design energy-efficient or environmentally sound civil structures.,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",0.8,0.6,0.8
15725,13-1199.06,13,Online Merchants,Core,3.59,"Develop or revise business plans for online business, emphasizing factors such as product line, pricing, inventory, or marketing strategy.","Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",0.85,0.65,0.8
20751,27-1023.00,27,Floral Designers,Core,4.43,"Deliver arrangements to customers, or oversee employees responsible for deliveries.","Design, cut, and arrange live, dried, or artificial flowers and foliage.",0.45,0.25,0.55
22946,33-1091.00,33,First-Line Supervisors of Security Workers,Core,4.42,Inspect and adjust security equipment to ensure it is operational or to detect evidence of tampering.,Directly supervise and coordinate activities of security workers and security guards.,0.45,0.25,0.55
23583,51-4121.00,51,"Welders, Cutters, Solderers, and Brazers",Core,4.61,Operate safety equipment and use safe work habits.,"Use hand-welding, flame-cutting, hand-soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products.",0.2,0.05,0.25
22730,29-1214.00,29,Emergency Medicine Physicians,Core,5,"Select, request, perform, or interpret diagnostic procedures, such as laboratory tests, electrocardiograms, emergency ultrasounds, and radiographs.","Make immediate medical decisions and act to prevent death or further disability. Provide immediate recognition, evaluation, care, stabilization, and disposition of patients. May direct emergency medical staff in an emergency department.",0.8,0.5,0.85
17794,47-4099.03,47,Weatherization Installers and Technicians,Core,4.09,"Make minor repairs using basic hand or power tools and materials, such as glass, lumber, and drywall.","Perform a variety of activities to weatherize homes and make them more energy efficient. Duties include repairing windows, insulating ducts, and performing heating, ventilating, and air-conditioning (HVAC) work. May perform energy audits and advise clients on energy conservation measures.",0.45,0.25,0.55
1793,27-3041.00,27,Editors,Supplemental,3.75,"Direct the policies and departments of newspapers, magazines and other publishing establishments.","Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",0.4,0.1,0.7
17861,51-8013.03,51,Biomass Plant Technicians,Core,4.74,Operate biomass fuel-burning boiler or biomass fuel gasification system equipment in accordance with specifications or instructions.,Control and monitor biomass plant activities and perform maintenance as needed.,0.2,0.1,0.2
1106,11-9081.00,11,Lodging Managers,Core,4.23,"Assign duties to workers, and schedule shifts.","Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",0.7,0.35,0.8
13788,49-9031.00,49,Home Appliance Repairers,Core,4.3,Disassemble appliances so that problems can be diagnosed and repairs can be made.,"Repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens.",0.45,0.25,0.55
11222,37-1012.00,37,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Supplemental,3.96,"Negotiate with customers regarding fees for landscaping, lawn service, or groundskeeping work.","Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities. Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs.",0.4,0.15,0.6
5985,25-1063.00,25,"Economics Teachers, Postsecondary",Core,4.45,"Prepare course materials, such as syllabi, homework assignments, and handouts.",Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.8,0.6,0.8
20390,19-2042.00,19,"Geoscientists, Except Hydrologists and Geographers",Core,3.8,"Locate and review research articles or environmental, historical, or technical reports.","Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, and oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, paleontologists, stratigraphers, geodesists, and seismologists.",0.8,0.6,0.8
13768,49-3051.00,49,Motorboat Mechanics and Service Technicians,Core,3.88,"Set starter locks and align and repair steering or throttle controls, using gauges, screwdrivers, or wrenches.",Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.,0.2,0.1,0.2
11129,35-1011.00,35,Chefs and Head Cooks,Core,4.87,Monitor sanitation practices to ensure that employees follow standards and regulations.,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts.",0.45,0.25,0.55
1547,19-4031.00,19,Chemical Technicians,Supplemental,3.03,Develop new chemical engineering processes or production techniques.,"Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences.",0.45,0.25,0.55
17029,25-3041.00,25,Tutors,Core,3.83,"Maintain records of students' assessment results, progress, feedback, or school performance, ensuring confidentiality of all records.",Instruct individual students or small groups of students in academic subjects to support formal class instruction or to prepare students for standardized or admissions tests.,0.2,0.1,0.2
11080,19-5011.00,19,Occupational Health and Safety Specialists,Supplemental,3.23,"Prepare hazardous, radioactive, or mixed waste samples for transportation or storage by treating, compacting, packaging, and labeling them.","Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.",0.8,0.55,0.85
9953,49-3011.00,49,Aircraft Mechanics and Service Technicians,Core,3.99,Measure the tension of control cables.,"Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems.",0.2,0.05,0.25
1612,21-1014.00,21,Mental Health Counselors,Core,3.57,Plan or conduct programs to prevent substance abuse or improve community health or counseling services.,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention. May help individuals deal with a broad range of mental health issues, such as those associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; or aging.",0.8,0.6,0.8
10425,51-5111.00,51,Prepress Technicians and Workers,Supplemental,4.38,Select proper types of plates according to press run lengths.,Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.,0.45,0.25,0.55
14731,15-1299.01,15,Web Administrators,Core,4.6,Back up or modify applications and related data to provide for disaster recovery.,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",0.8,0.6,0.8
12989,21-2021.00,21,"Directors, Religious Activities and Education",Core,3.09,"Participate in denominational activities aimed at goals, such as promoting interfaith understanding or providing aid to new or small congregations.","Coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group. May provide counseling, guidance, and leadership relative to marital, health, financial, and religious problems.",0.45,0.25,0.55
4568,39-9031.00,39,Exercise Trainers and Group Fitness Instructors,Core,3.84,"Provide students with information and resources regarding nutrition, weight control, and lifestyle issues.","Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.",0.8,0.6,0.8
23895,53-7065.00,53,Stockers and Order Fillers,Core,4.23,Keep records of out-going orders.,"Receive, store, and issue merchandise, materials, equipment, and other items from stockroom, warehouse, or storage yard to fill shelves, racks, tables, or customers' orders. May operate power equipment to fill orders. May mark prices on merchandise and set up sales displays.",0.45,0.25,0.55
5083,39-2021.00,39,Animal Caretakers,Supplemental,4.24,Clean and disinfect surgical equipment.,"Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.",0.2,0.1,0.2
11349,43-5052.00,43,Postal Service Mail Carriers,Core,4.3,Bundle mail in preparation for delivery or transportation to relay boxes.,Sort and deliver mail for the United States Postal Service (USPS). Deliver mail on established route by vehicle or on foot. Includes postal service mail carriers employed by USPS contractors.,0.45,0.25,0.55
20399,19-4092.00,19,Forensic Science Technicians,Core,4.67,Use photographic or video equipment to document evidence or crime scenes.,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.",0.8,0.55,0.85
19002,15-1231.00,15,Computer Network Support Specialists,Core,3.96,Troubleshoot network or connectivity problems for users or user groups.,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",0.45,0.25,0.55
16343,17-2051.02,17,Water/Wastewater Engineers,Core,3.89,"Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.","Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",0.8,0.5,0.85
15675,11-3031.03,11,Investment Fund Managers,Core,4.47,Develop or implement fund investment policies or strategies.,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",0.45,0.25,0.55
14041,51-6021.00,51,"Pressers, Textile, Garment, and Related Materials",Core,4.36,Push and pull irons over surfaces of articles to smooth or shape them.,Press or shape articles by hand or machine.,0.45,0.25,0.55
775,43-6013.00,43,Medical Secretaries and Administrative Assistants,Core,4.51,"Schedule and confirm patient diagnostic appointments, surgeries, or medical consultations.","Perform secretarial duties using specific knowledge of medical terminology and hospital, clinic, or laboratory procedures. Duties may include scheduling appointments, billing patients, and compiling and recording medical charts, reports, and correspondence.",0.7,0.25,0.85
15254,33-3012.00,33,Correctional Officers and Jailers,Core,4.63,"Inspect conditions of locks, window bars, grills, doors, and gates at correctional facilities to ensure security and help prevent escapes.","Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions.",0.45,0.25,0.55
22159,19-1031.00,19,Conservation Scientists,Core,3.8,Compile or interpret biodata to determine extent or type of wetlands or to aid in program formulation.,"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",0.8,0.6,0.8
11450,47-2011.00,47,Boilermakers,Core,3.66,"Locate and mark reference points for columns or plates on boiler foundations, following blueprints and using straightedges, squares, transits, or measuring instruments.","Construct, assemble, maintain, and repair stationary steam boilers and boiler house auxiliaries. Align structures or plate sections to assemble boiler frame tanks or vats, following blueprints. Work involves use of hand and power tools, plumb bobs, levels, wedges, dogs, or turnbuckles. Assist in testing assembled vessels. Direct cleaning of boilers and boiler furnaces. Inspect and repair boiler fittings, such as safety valves, regulators, automatic-control mechanisms, water columns, and auxiliary machines.",0.45,0.2,0.6
22986,33-2011.00,33,Firefighters,Core,3.97,"Extinguish flames and embers to suppress fires, using shovels or engine- or hand-driven water or chemical pumps.","Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance.",0.45,0.15,0.6
7828,29-1221.00,29,"Pediatricians, General",Core,4.41,Refer patient to medical specialist or other practitioner when necessary.,"Diagnose, treat, and help prevent diseases and injuries in children. May refer patients to specialists for further diagnosis or treatment, as needed.",0.4,0,0.7
7830,29-1221.00,29,"Pediatricians, General",Core,3.5,Provide consulting services to other physicians.,"Diagnose, treat, and help prevent diseases and injuries in children. May refer patients to specialists for further diagnosis or treatment, as needed.",0.45,0.15,0.6
23828,53-5021.00,53,"Captains, Mates, and Pilots of Water Vessels",Supplemental,4.27,"Perform various marine duties, such as checking for oil spills or other pollutants around ports or harbors or patrolling beaches.","Command or supervise operations of ships and water vessels, such as tugboats and ferryboats. Required to hold license issued by U.S. Coast Guard.",0.45,0.25,0.55
5731,25-1031.00,25,"Architecture Teachers, Postsecondary",Core,4.41,"Evaluate and grade students' work, including work performed in design studios.","Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.8,0.6,0.8
2458,41-9022.00,41,Real Estate Sales Agents,Core,4.24,"Advise clients on market conditions, prices, mortgages, legal requirements, and related matters.","Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",0.65,0.25,0.8
1217,13-1121.00,13,"Meeting, Convention, and Event Planners",Core,4.26,"Maintain records of event aspects, including financial details.","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",0.5,0.2,0.6
18731,35-2021.00,35,Food Preparation Workers,Core,4.31,"Wash, peel, and cut various foods, such as fruits and vegetables, to prepare for cooking or serving.","Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea.",0.5,0.2,0.6
9405,31-2012.00,31,Occupational Therapy Aides,Core,3.78,Supervise patients in choosing and completing work assignments or arts and crafts projects.,"Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room.",0.4,0,0.75
11530,47-2151.00,47,Pipelayers,Core,4.1,"Check slopes for conformance to requirements, using levels or lasers.","Lay pipe for storm or sanitation sewers, drains, and water mains. Perform any combination of the following tasks: grade trenches or culverts, position pipe, or seal joints.",0.45,0.25,0.55
22462,25-9042.00,25,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Supplemental,3.55,Distribute tests and homework assignments and collect them when they are completed.,"Assist a preschool, elementary, middle, or secondary school teacher with instructional duties. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational programs and services.",0.45,0.25,0.55
23287,43-4031.00,43,"Court, Municipal, and License Clerks",Core,4,Coordinate or maintain office tracking systems for correspondence or follow-up actions.,"Perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus. May prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; and record data, administer tests, or collect fees.",0.2,0.1,0.2
7584,19-4013.00,19,Food Science Technicians,Supplemental,3.97,"Mix, blend, or cultivate ingredients to make reagents or to manufacture food or beverage products.","Work with food scientists or technologists to perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products. Includes technicians who assist in research and development of production technology, quality control, packaging, processing, and use of foods.",0.2,0.1,0.2
21482,13-1199.07,13,Security Management Specialists,Core,4.16,Assess the nature and level of physical security threats so that the scope of the problem can be determined.,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",0.45,0.2,0.6
16618,17-3029.01,17,Non-Destructive Testing Specialists,Core,4.74,Make radiographic images to detect flaws in objects while leaving objects intact.,"Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.",0.45,0.2,0.6
18777,43-4121.00,43,"Library Assistants, Clerical",Supplemental,3.5,"Acquire books, pamphlets, periodicals, audio-visual materials, and other library supplies by checking prices, figuring costs, and preparing appropriate order forms and facilitating the ordering process by providing such information to others.","Compile records, and sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm. Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials.",0.85,0.65,0.8
17577,33-9099.02,33,Retail Loss Prevention Specialists,Core,4.09,"Coordinate with risk management, human resources, or other departments to assist in company programs, investigations, or training.","Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets.",0.4,0.15,0.6
13004,23-1022.00,23,"Arbitrators, Mediators, and Conciliators",Supplemental,3.67,"Interview claimants, agents, or witnesses to obtain information about disputed issues.",Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.,0.65,0.3,0.8
14727,15-1254.00,15,Web Developers,Supplemental,2.75,"Research, document, rate, or select alternatives for Web architecture or technologies.","Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",0.8,0.6,0.8
9791,43-9111.00,43,Statistical Assistants,Core,4.36,"Compile reports, charts, or graphs that describe and interpret findings of analyses.",Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,0.8,0.6,0.8
6931,29-1021.00,29,"Dentists, General",Core,4.57,"Diagnose and treat diseases, injuries, or malformations of teeth, gums, or related oral structures and provide preventive or corrective services.","Examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums. May treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth. May fit dental appliances or provide preventive care.",0.45,0.2,0.6
4306,31-9096.00,31,Veterinary Assistants and Laboratory Animal Caretakers,Core,4.72,Monitor animals recovering from surgery and notify veterinarians of any unusual changes or symptoms.,"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine postoperative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists.",0.45,0.25,0.55
2217,35-2021.00,35,Food Preparation Workers,Core,4.17,"Load dishes, glasses, and tableware into dishwashing machines.","Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea.",0.2,0.1,0.2
14349,51-9031.00,51,"Cutters and Trimmers, Hand",Core,4.43,"Mark or discard items with defects such as spots, stains, scars, snags, chips, scratches, or unacceptable shapes or finishes.","Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.",0.45,0.25,0.55
1482,17-3027.00,17,Mechanical Engineering Technologists and Technicians,Core,3.56,"Analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications.","Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists.",0.8,0.6,0.8
660,41-1011.00,41,First-Line Supervisors of Retail Sales Workers,Core,4.56,"Direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or in performing services for customers.","Directly supervise and coordinate activities of retail sales workers in an establishment or department. Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties.",0.7,0.25,0.85
11765,49-2098.00,49,Security and Fire Alarm Systems Installers,Core,4.41,"Test and repair circuits and sensors, following wiring and system specifications.","Install, program, maintain, and repair security and fire alarm wiring and equipment. Ensure that work is in accordance with relevant codes.",0.2,0.1,0.2
17211,29-1229.05,29,Preventive Medicine Physicians,Core,4.05,Teach or train medical staff regarding preventive medicine issues.,"Apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death. May practice population-based medicine or diagnose and treat patients in the context of clinical health promotion and disease prevention.",0.4,0.05,0.65
17165,29-1241.00,29,"Ophthalmologists, Except Pediatric",Core,4.34,Collaborate with multidisciplinary teams of health professionals to provide optimal patient care.,Diagnose and perform surgery to treat and help prevent disorders and diseases of the eye. May also provide vision services for treatment including glasses and contacts.,0.4,0,0.7
22276,19-4043.00,19,"Geological Technicians, Except Hydrologic Technicians",Supplemental,3.79,Record readings in order to compile data used in prospecting for oil or gas.,"Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes.",0.9,0.7,0.8
3596,17-2171.00,17,Petroleum Engineers,Supplemental,3.78,"Simulate reservoir performance for different recovery techniques, using computer models.",Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,0.45,0.25,0.55
10126,51-4031.00,51,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,3.83,Turn valves to start flow of coolant against cutting areas or to start airflow that blows cuttings away from kerfs.,"Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.",0.45,0.25,0.55
12709,51-9198.00,51,Helpers--Production Workers,Supplemental,3.76,"Tie products in bundles for further processing or shipment, following prescribed procedures.","Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment.",0.45,0.25,0.55
16423,17-2141.02,17,Automotive Engineers,Core,3.8,Prepare or present technical or project status reports.,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",0.8,0.6,0.8
18379,29-1171.00,29,Nurse Practitioners,Core,4.45,Schedule follow-up visits to monitor patients or evaluate health or illness care.,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",0.7,0.25,0.85
7627,23-1021.00,23,"Administrative Law Judges, Adjudicators, and Hearing Officers",Core,4.68,"Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence.","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.",0.45,0.25,0.55
23525,49-3023.00,49,Automotive Service Technicians and Mechanics,Core,4.36,"Repair, reline, replace, and adjust brakes.","Diagnose, adjust, repair, or overhaul automotive vehicles.",0.2,0.05,0.25
9394,29-2091.00,29,Orthotists and Prosthetists,Core,3.81,Update skills and knowledge by attending conferences and seminars.,"Design, measure, fit, and adapt orthopedic braces, appliances or prostheses, such as limbs or facial parts for patients with disabling conditions.",0.5,0.3,0.55
4087,29-1124.00,29,Radiation Therapists,Core,4.78,Enter data into computer and set controls to operate or adjust equipment or regulate dosage.,"Provide radiation therapy to patients as prescribed by a radiation oncologist according to established practices and standards. Duties may include reviewing prescription and diagnosis; acting as liaison with physician and supportive care personnel; preparing equipment, such as immobilization, treatment, and protection devices; and maintaining records, reports, and files. May assist in dosimetry procedures and tumor localization.",0.55,0.25,0.65
10361,51-4194.00,51,"Tool Grinders, Filers, and Sharpeners",Supplemental,4,"Inspect dies to detect defects, assess wear, and verify specifications, using micrometers, steel gauge pins, and loupes.","Perform precision smoothing, sharpening, polishing, or grinding of metal objects.",0.5,0.3,0.55
5270,11-9131.00,11,Postmasters and Mail Superintendents,Supplemental,4.1,Select and train postmasters and managers of associate postal units.,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",0.4,0.15,0.6
2452,41-9022.00,41,Real Estate Sales Agents,Core,3.53,"Review plans for new construction with clients, enumerating and recommending available options and features.","Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",0.8,0.6,0.8
16325,17-2051.02,17,Water/Wastewater Engineers,Core,4.3,"Review and critique proposals, plans, or designs related to water or wastewater treatment systems.","Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",0.8,0.5,0.85
22929,33-1021.00,33,First-Line Supervisors of Firefighting and Prevention Workers,Core,3.85,"Perform administrative duties, such as compiling and maintaining records, completing forms, preparing reports, or composing correspondence.",Directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.,0.45,0.25,0.55
22110,17-3031.00,17,Surveying and Mapping Technicians,Core,4.02,Identify and compile database information to create requested maps.,"Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist, to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps.",0.8,0.6,0.8
18081,47-4011.01,47,Energy Auditors,Core,3.89,Educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energy-efficient appliances.,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems.",0.4,0.15,0.6
926,51-8031.00,51,Water and Wastewater Treatment Plant and System Operators,Core,4.75,"Operate and adjust controls on equipment to purify and clarify water, process or dispose of sewage, and generate power.","Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater.",0.2,0.05,0.25
10024,51-2022.00,51,Electrical and Electronic Equipment Assemblers,Core,4.17,"Position, align, or adjust workpieces or electrical parts to facilitate wiring or assembly.","Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.",0.45,0.25,0.55
